# What the hosts said they were, written by `pnpm domains:classify`.
# Do not edit by hand: the next run overwrites it. To correct a row, put
# the right answer in gswan-department-directory.tsv instead, which is read
# first and wins.
#
# host<TAB>category<TAB>name<TAB>deciding tier<TAB>what the page said
1000d.gujarat.gov.in	DEPARTMENT	Women and Child Development Department	tier 2 qwen.qwen3-32b	હોમ - મુખ્યમંત્રી માતૃશક્તિ યોજના
acpc.gujarat.gov.in	EDUCATION	Admission Committee for Professional Courses (ACPC), Gujarat - jacpcldce.ac.in/	tier 1 fetch	Admission Committee for Professional Courses (ACPC), Gujarat - jacpcldce.ac.in/
acpdc.gujarat.gov.in	SERVICE_PORTAL	ACPDC - Diploma Admissions	tier 1 fetch	ACPDC Gujarat | Diploma Admissions Portal
acsys.gujarat.gov.in	DEAD		tier 0.5 dns	
anyror.gujarat.gov.in	DEPARTMENT	Revenue Department	tier 2 qwen.qwen3-32b	-: Any RoR @ Anywhere :- 10
arbitrationgujhc.gujarat.gov.in	JUDICIARY	Gujarat High Court Arbitration Centre (Domestic and International)	tier 1 fetch	Arbitration Centre (Domestic & International) - High Court of Gujarat
areaenumeration.gujarat.gov.in	DEPARTMENT		tier 2 qwen.qwen3-32b	GIS Agriculture : Login
armedunit.gujarat.gov.in	POLICE	અધિક પોલીસ મહાનિદેશકશ્રી, હથિયારી એકમ	tier 1 fetch	અધિક પોલીસ મહાનિદેશકશ્રી, હથિયારી એકમ
arogyasathi.gujarat.gov.in	DEPARTMENT	-::-National Health Mission :: Govt. Of Gujarat	tier 1 fetch	-::-National Health Mission :: Govt. Of Gujarat
attendance-ss.gujarat.gov.in	DEAD		tier 0.5 dns	
atvt.gujarat.gov.in	DEAD		tier 0.5 dns	
ayudmla.gujarat.gov.in	DEPARTMENT	Food and Drugs Control Administration Health & Family Welfare Department Government of Gujarat	tier 1 fetch	FDCA
betivadhaao.gujarat.gov.in	DEPARTMENT	Betivadhaao, Health and Family welfare department	tier 1 fetch	Home|Betivadhaao, Health and Family welfare department
bharatnet.gujarat.gov.in	INFRASTRUCTURE	Gujarat Fibre Grid Network Limited	tier 2 qwen.qwen3-32b	Home | GFGNL
bisagservice.gujarat.gov.in	DEAD		tier 0.5 dns	
blp.gujarat.gov.in	SERVICE_PORTAL	Finance Department	tier 1 fetch	Bankable Loan Portal
ced.gujarat.gov.in	DEPARTMENT	The Centre for Entrepreneurship Development	tier 2 qwen.qwen3-32b	CED, Gujarat - CED – Centre for Entrepreneurship Development, Gujarat
cedmis.gujarat.gov.in	DEPARTMENT	The Centre For Entrepreneurship Development	tier 2 qwen.qwen3-32b	Home Page
ceiced.gujarat.gov.in	DEPARTMENT	મુખ્ય વિદ્યુત નિરીક્ષક	tier 2 qwen.qwen3-32b	મુખ્ય વિદ્યુત નિરીક્ષક <br />અને<br />વિદ્યુત શુલ્ક સમાહર્તા
cet.gujarat.gov.in	DEAD		tier 0.5 dns	
cgm.gujarat.gov.in	DEPARTMENT	Commissioner of Geology and Mining	tier 1 fetch	Commissioner of Geology and Mining
charitycommissioner.gujarat.gov.in	DEPARTMENT	Office of the Charity Commissioner	tier 1 fetch	Charity Commissioner
charityonline.gujarat.gov.in	DEPARTMENT	Office of Charity Commissioner	tier 1 fetch	Office of Charity Commissioner
chiefsecretary.gujarat.gov.in	DEAD		tier 0.5 dns	
cidcrime.gujarat.gov.in	POLICE	અધિક પોલીસ મહાનિદેશકશ્રી,સીઆઇડી ક્રાઇમ,રેલ્‍વે	tier 1 fetch	અધિક પોલીસ મહાનિદેશકશ્રી,સીઆઇડી ક્રાઇમ,રેલ્‍વે
civildefence.gujarat.gov.in	DEPARTMENT	નિયામક, નાગરિક સંરક્ષણ તંત્ર	tier 2 qwen.qwen3-32b	નિયામક, નાગરિક સંરક્ષણ તંત્ર
civilhospitalahd.gujarat.gov.in	DEPARTMENT	Civil Hospital, Ahmedabad	tier 2 qwen.qwen3-32b	Civil Hospital, Ahmedabad
cmslb.gujarat.gov.in	DEAD		tier 0.5 dns	
commercialtax.gujarat.gov.in	DEPARTMENT	Gujarat Commercial Tax	tier 2 qwen.qwen3-32b	Gujarat Commercial Tax
commissionertourism.gujarat.gov.in	DEPARTMENT	Commissioner of Tourism	tier 1 fetch	Commissioner of Tourism
communi.gujarat.gov.in	DEPARTMENT	Commissioner of Municipalities Administration Urban Development & Urban Housing DepartmentGovt.of Gujarat	tier 1 fetch	Commissioner of Municipalities Administration Urban Development & Urban Housing DepartmentGovt.of Gujarat
coop.gujarat.gov.in	DEAD		tier 0.5 dns	
cos-mdm.gujarat.gov.in	DEAD		tier 0.5 dns	
covid19.gujarat.gov.in	DEAD		tier 0.5 dns	
craftofgujarat.gujarat.gov.in	DEPARTMENT	iNDEXT-c | Industrial Extension Cottage	tier 2 qwen.qwen3-32b	iNDEXT-c | Industrial Extension Cottage
cts-ss.gujarat.gov.in	DEAD		tier 0.5 dns	
cybernodal.gujarat.gov.in	DEAD		tier 0.5 dns	
dangs.gujarat.gov.in	DISTRICT_COLLECTOR	Office Bearers	tier 1 fetch	Collectorate - District Dang
dfs.gujarat.gov.in	JUDICIARY	ન્યાય સહાયક વિજ્ઞાનની કચેરી	tier 2 qwen.qwen3-32b	ન્યાય સહાયક વિજ્ઞાનની કચેરી
dholera.gujarat.gov.in	INFRASTRUCTURE		tier 2 qwen.qwen3-32b	Home | Dholera
dicdl.gujarat.gov.in	DEAD		tier 0.5 dns	
digitalsevasetu.gujarat.gov.in	SERVICE_PORTAL	What's New	tier 1 fetch	Digital SevaSetu
directorateofrelief.gujarat.gov.in	DEPARTMENT	Commissioner of relief	tier 1 fetch	Commissioner of Relief
disasterresponse-vadodara.gujarat.gov.in	DISTRICT_COLLECTOR	Flood & Relief Management System,Collectorate Vadodara	tier 1 fetch	Flood & Relief Management System,Collectorate Vadodara
dmf.gujarat.gov.in	DEPARTMENT	District Mineral Foundation	tier 2 qwen.qwen3-32b	Home | DMF
dom.gujarat.gov.in	DEAD		tier 0.5 dns	
dsagsahay.gujarat.gov.in	DEPARTMENT	Tribal Developement | Department | GoG	tier 1 fetch	Home | Tribal Developement | Department | GoG
dstpolicy.gujarat.gov.in	SERVICE_PORTAL	DST Incentive Management Portal	tier 1 fetch	Home | DST Incentive Management Portal
e-hrms.gujarat.gov.in	INFRASTRUCTURE	eHRMS	tier 2 qwen.qwen3-32b	eHRMS
e-kutir.gujarat.gov.in	DEPARTMENT	Commissioner of Cottage and Rural Industries	tier 1 fetch	Commissioner of Cottage and Rural Industries
e-milkat.gujarat.gov.in	DEPARTMENT	e-Milkat Settlement Commissioner & Director of Land Records, Government Of Gujarat	tier 1 fetch	e-Milkat-189
e-trams.gujarat.gov.in	DEPARTMENT	E-trams Directorate of Employment and Training	tier 1 fetch	E-trams Directorate of Employment and Training
ecooperative.gujarat.gov.in	SERVICE_PORTAL	Registrar of the Co-operative Portal	tier 1 fetch	Registrar of the Co-operative Portal - Government of Gujarat
efps.gujarat.gov.in	DEPARTMENT	Gujarat PDS Shop	tier 2 qwen.qwen3-32b	Gujarat PDS Shop - Online Billing Software - T7
egram.gujarat.gov.in	DISTRICT_PANCHAYAT	eGram Vishwagram Society	tier 2 qwen.qwen3-32b	e-Gram
elas.gujarat.gov.in	DEAD		tier 0.5 dns	
employment.gujarat.gov.in	DEAD		tier 0.5 dns	
empower.gujarat.gov.in	DEPARTMENT	Empowering Youth	tier 2 qwen.qwen3-32b	Empowering Youth
enirmanbocw.gujarat.gov.in	DEPARTMENT	Building & Other Construction Worker's Welfare Board	tier 1 fetch	Building & Other Construction Worker's Welfare Board
eol.gujarat.gov.in	DEAD		tier 0.5 dns	
eolakh.gujarat.gov.in	DEPARTMENT	::-Gujarat civil registration system :: Govt. Of Gujarat	tier 1 fetch	::-Gujarat civil registration system :: Govt. Of Gujarat
esamajkalyan.gujarat.gov.in	DEPARTMENT	SJED	tier 1 fetch	SJED
fasgwssb.gujarat.gov.in	DEPARTMENT	Gujarat Water Supply & Sewage Board	tier 2 qwen.qwen3-32b	GWSSB FAS
forestservices.gujarat.gov.in	DEPARTMENT	Principal Chief Conservator of Forest & Head of the Forest Force (HoFF)	tier 1 redirect	forests.gujarat.gov.in
gadplanning.gujarat.gov.in	DEAD		tier 0.5 dns	
